,man,e000,
,Ozni,e39e,Num 26:16
,Shemida,e39f,Num 26:32
,Shephupham,e3a0,Num 26:39
,Ahiram,e3a1,Num 26:38
,Ar,e3a2,Num 21:15
,Arad_man,e3a3,1 Chr 8:15
,Asriel,e3a4,Num 26:31
,Atharim,e3a5,Num 21:1
,Bashan,e3a6,Num 21:33
,Beer,e3a7,Num 21:16
,Chemosh,e3a8,Num 21:29
,Dibon,e3a9,Num 21:30
,Eran,e3aa,Num 26:36
,Gilead_man,e3ab,Num 26:29
,Helek,e3ac,Num 26:30
,Hepher,e3ad,Num 26:32
,Heshbon,e3ae,Josh 13:26
,Hoglah,e3af,Num 26:33
,Hupham,e3b0,Num 26:39
,Iezer,e3b1,Num 26:30
,Iye_Abarim,e3b2,Num 21:11
,Jahaz,e3b3,Num 21:23
,Mount_Hor,e3b4,Num 20:22
,Elisheba,e3b5,Exod 6:23
,Maarath,e3b6,Josh 15:59
,Maroth,e3b6,Mic 1:12
,Shuham,e3b7,Num 26:42
,Shuthelah,e3b8,Num 26:35
,Sihon,e3b9,Num 21:21
,Tirzah_woman,e3ba,Num 26:33
,Waheb,e3bb,Num 21:14
,Zelophehad,e3bc,Num 26:33
,Zered,e3bd,Deut 2:13
,Zophim,e3be,Num 23:14
,Bamoth_land,e3c0,Num 21:19
,Evi,e3c2,Num 31:8
,Rekem_man,e3c3,Num 31:8
,Reba,e3c4,Num 31:8
,Aroer,e3c5,Num 32:34
,Ataroth,e3c6,Num 32:3
,Ataroth_Shophan,e3c7,Num 32:35
,Baal_Meon,e3c8,Num 32:38
,Beon,e3c9,Num 32:3
,Elealeh,e3ca,Num 32:3
,Eshkol_land,e3cb,Num 13:23
,Jair,e3cc,Num 32:41
,Jogbehah,e3cd,Num 32:35
,Kenath,e3ce,Num 32:42
,Nimrah,e3cf,Num 32:3
,Nobah_land,e3d0,Num 32:42
,Kozbi,e3d1,Num 25:15
,Sibmah,e3d2,Josh 13:19
,Suphah,e3d5,Num 21:14
,Abronah,e3d6,Num 33:34
,Akrabbim,e3d7,Num 34:4
,Almon_Diblathaim,e3d8,Num 33:46
,Alush,e3d9,Num 33:13
,Azmon,e3da,Num 34:5
,Bene_Jaakan,e3db,Num 33:31
,Beth_Jeshimoth,e3dc,Num 33:49
,Dophkah,e3dd,Num 33:12
,Haradah,e3de,Num 33:24
,Hashmonah,e3df,Num 33:29
,Agag,e3e0,Num 24:27
,Ahihud,e3e1,Num 34:27
,Azzan,e3e2,Num 34:26
,Bukki,e3e3,Num 34:22
,Elidad,e3e4,Num 34:21
,Hanniel,e3e5,Num 34:23
,Ain,e3e6,Num 34:11
,Arad_village,e3e7,Num 33:40
,Dibon_Gad,e3e8,Num 33:45
,Ezion_Geber,e3e9,Num 33:35
,Hazar_Addar,e3ea,Num 34:4
,Hazar_Enan,e3eb,Num 34:9
,Hor_Haggidgad,e3ec,Num 33:32
,Jephunneh,e3ee,Num 26:65
,Jogli,e3ef,Num 34:22
,Jotbathah,e3f0,Num 33:33
,Kehelathah,e3f1,Num 33:22
,Kinnereth,e3f2,Josh 19:35
,Kislon,e3f3,Num 34:21
,Libnah,e3f4,Josh 15:42
,Makheloth,e3f5,Num 33:26
,Mithkah,e3f6,Num 33:28
,Moseroth,e3f7,Num 33:30
,Mount_Shepher,e3f8,Num 33:23
,Nebo,e3f9,Num 33:47
,Paltiel,e3fb,Num 34:26
,Parnak,e3fc,Num 34:25
,Pedahel,e3fd,Num 34:28
,Punon,e3fe,Num 33:42
,Riblah,e3ff,Num 34:11
,Rimmon_Perez,e400,Num 33:19
,Rissah,e401,Num 33:21
,Rithmah,e402,Num 33:18
,Salu,e403,Num 25:14
,scepter,e404,Gen 49:10
,Shelomi,e405,Num 34:27
,Shepham,e406,Num 34:10
,Shiphtan,e407,Num 34:24
,Shittim,e408,Num 25:1
,Tahath,e409,Num 33:26
,Terah_land,e40a,Num 33:28
,Vophsi,e40b,Num 13:14
,Zalmonah,e40c,Num 33:41
,Zedad,e40d,Num 34:8
,Zimri,e40e,Num 25:14
,Ziphron,e40f,Num 34:9
,Zur,e410,Num 25:15
,Shemuel,e411,Num 34:20
,Nobah_man,e412,Num 32:42
,tambourine,e413,
,Makkedah,e414,Josh 10:28
,Mount_Ebal,e415,Deut 11:29
,Mount_Gerizim,e416,Deut 11:29
,Piram,e417,Josh 10:3
,Rekem_city,e418,Josh 18:27
,Chronicles,e419,
,Hegai_man,e41a,Esth 2:8
,Jehoiachin,e41b,2 Kgs 24:6
,Nebuchadnezzar,e41c,Jer 21:2
,Shaashgaz,e41d,Esth 2:14
,Elimelek,e41e,Ruth 1:2
,Kilion,e41f,Ruth 1:5
,Mahlon,e420,Ruth 1:5
,Naomi,e421,Ruth 1:2
,Orpah,e422,Ruth 1:4
,Beth_Peor,e423,Deut 3:29
,Pethuel,e424,Joel 1:1
,Sheba_land,e425,2 Chr 9:12
,Judah_land,e426,Hag 1:1
,Adoni_Zedek,e427,Josh 10:1
,Aijalon,e428,Josh 10:12
,Azekah,e42a,Josh 10:10
,Beeroth,e42b,Deut 10:6
,Beth_Horon,e42c,Josh 10:10
,Debir_man,e42d,Josh 10:3
,Eglon_village,e42e,Josh 10:3
,Gezer,e42f,Josh 10:33
,Gibeath_Haaraloth,e430,Josh 5:3
,Gibeon_village,e431,Josh 9:3
,Gilgal,e432,Josh 5:9
,Hoham,e433,Josh 10:3
,Horam,e434,Josh 10:33
,Japhia_man,e435,Josh 10:3
,Jarmuth,e436,Josh 10:3
,Ramoth_Gilead,e436,1 Kgs 4:13
,Remeth,e436,Josh 19:21
,Kephirah,e437,Josh 18:26
,Baalath,e438,Josh 9:44
,Kiriath_Jearim,e438,Josh 9:17
,Lachish,e439,Josh 10:3
,Beth_Ezel,e43a,Mic 1:11
,Akshaph,e43b,Josh 12:20
,Aphek,e43c,Josh 12:18
,Carmel,e43d,Josh 12:22
,Debir_city,e43e,Josh 10:38
,Kiriath_Sannah,e43e,Josh 15:49
,Kiriath_Sepher,e43e,Josh 15:15
,Dor,e43f,Josh11:2
,Geder,e440,Josh 12:13
,Hazor,e441,Josh 12:19
,Jokneam,e442,Josh 12:22
,Madon,e444,Josh 11:1
,Salekah,e445,Deut 3:10
,Shimron_village,e446,Josh 11:1
,Taanach,e447,Josh 12:21
,Tappuah,e448,Josh 12:17
,Tirzah_village,e449,Josh 12:24
,Thebes,e44a,Jer 46:25
,Baal_Gad,e44b,Josh 11:17
,Goyim,e44c,Josh 12:23
,Mount_Halak,e44e,Josh 11:17
,Obadiah,e44f,Neh 10:5
,Amaziah,e450,2 Kgs 12:21
,Ashdod,e451,Josh 11:22
,Ashkelon,e452,Judg 1:18
,Ben_Hadad,e453,1 Kgs 15:18
,Beth_Eden,e454,Amos 1:5
,Ekron,e455,Josh 13:3
,Hazael,e456,Amos 1:4
,Jeroboam,e457,1 Kgs 11:26
,Joash,e458,Judg 6:31
,Kerioth,e459,Jer 48:24
,Kir,e45a,Isa 22:6
,Lo_Debar,e45b,2 Sam 9:4
,Mount_Carmel,e45c,1 Kgs 18:19
,Tekoa_village,e45d,2 Sam 14:2
,Achish,e45e,1 Sam 21:10
,Ahimelech,e45f,1 Sam 21:1
,Doeg,e460,1 Sam 21:7
,Gath,e461,1 Sam 21:10
,Goliath,e462,1 Sam 21:9
,Nob,e463,1 Sam 21:1
,Abiezer,e464,Josh 17:2
,Ataroth_Addar,e465,Josh 16:5
,Bezer,e466,Deut 4:43
,Endor,e467,Josh 17:11
,Golan,e468,Duet 4:43
,Ibleam,e469,Josh 17:11
,Janoah,e46a,Josh 16:7
,Japhlet,e46b,Josh 16:3
,Jezreel,e46c,Josh 17:16
,Kanah_brook,e46d,Josh 16:8
,Kanah_village,e46e,Josh 19:28
,Makir,e46f,Josh 13:31
,Manasseh_land,e470,Josh 17:7
,Mikmethath,e471,Josh 16:6
,Naarah_village,e472,Josh 16:7
,Edrei,e474,Josh 19:37
,Ephod,e475,Num 34:23
,Tahan,e476,Num 26:35
,Naarah_woman,e477,1 Chr 4:5
,Hebron_man,e478,Exo 6:18
,Beth_Haran,e479,Num 32:36
,Noah_woman,e47a,Num 36:11
,Cushan_Rishathaim,e47b,Judg 3:8
,Maon_man,e47c,
,Shamir_man,e47d,
,Jehozadak,e47e,Zech 6:11
,Hammedatha,e47f,Esth 3:1
,Abiram,e480,Num 16:1
,Dizahab,e481,Deut 1:1
,egg,e482,
,Maakath_land,e483,Josh 13:13
,Abner,e484,1 Sam 14:50
,Moserah,e485,Duet 10:6
,Mount_Nebo,e486,Duet 32:49
,Tophel_land,e487,
,Baanah,e488,2 Sam 4:2
,Gittaim,e489,2 Sam 4:3
,Ishbosheth,e48a,2 Sam 2:8
,Jonathan,e48b,1 Sam 13:2
,Haggai,e48c,Ezra 5:1
,Akzib,e48e,Mic 1:14
,Ahasuerus,e48f,Esth 1:1
,Darius,e490,Hag 1:1
,Beth_Leaphrah,e491,Mic 1:10
,Bigthana,e492,Esth 6:2
,Mareshah,e493,1 Chr 2:42
,Johozadak,e494,
,Argob,e495,Deut 3:4
,Avvites,e496,2 Kgs 17:31
,Eber_land,e497,Num 24:24
,Elath,e498,Deut 2:8
,Geshur,e499,Deut 3:14
,Kedemoth,e49a,Duet 2:26
,Sebam,e49b,Num 32:3
,Maakath_man,e49c,Josh 12:5
,Mount_Hermon,e49d,Deut 3:8
,Rabbah,e49e,Deut 3:11
,Esther,e49f,Esth 2:7
,Haman,e4a0,Esth 3:1
,Hathak,e4a1,Esth 4:5
,India,e4a2,Esth 8:9
,Mordecai,e4a3,Esth 2:5
,Persia,e4a4,2 Chr 36:20
,Susa,e4a5,Ezra 4:9
,Teresh,e4a6,Esth 2:21
,Vashti,e4a7,Esth 1:9
,Zeresh,e4a8,Esth 5:10
,Moresheth,e4a9,Mic 1:1
,Shaphir,e4aa,Mic 1:11
,Zaanan,e4ab,Mic 1:11
,Zenan,e4ab,Josh 15:37
,Abishag,e4ac,1 kgs 1:3
,Absalom,e4ad,1 Kgs 1:6
,Adonijah,e4ae,1 kgs 1:5
,Bathsheba,e4af,1 Kgs 1:11
,Benaiah,e4b0,1 Kgs 1:8
,En_Rogel,e4b1,1 Kgs 1:9
,Haggith,e4b2,1 Kgs 1:5
,Jehoiada,e4b3,1 Kgs 1:8
,Joab,e4b4,1 Kgs 1:7
,Pelethites,e4b5,1 Kgs 1:38
,Rei,e4b6,1 Kgs 1:8
,Shunem,e4b7,1 Kgs 1:3
,Beth_Arabah,e4b8,Josh 15:6
,Beth_Dagon,e4b9,Josh 15:41
,Beth_Hoglah,e4ba,Josh 15:6
,Beth_Pelet,e4bb,Josh 15:27
,Biziothiah,e4bc,Josh 15:28
,Bohan,e4bd,Josh 16:6
,Bozkath,e4be,Josh 15:39
,Dannah,e4bf,Josh 15:49
,Dilean,e4c0,Josh 15:38
,Dimonah,e4c1,Josh 15:22
,Eder,e4c2,Josh 15:21
,Eltekon,e4c3,Josh i5:59
,Eltolad,e4c4,Josh 15:30
,En_Gedi,e4c5,Josh 15:62
,En_Shemesh,e4c6,Josh 15:7
,Enam,e4c7,Josh 15:34
,Eshan,e4c8,Josh 15:52
,Adadah,e4c9,Josh 15:20
,Ether,e4cb,Josh 15:42
,Achor,e4cc,Josh 15:7
,Eshtaol,e4cd,Josh 15:33
,Addar,e4ce,Josh 15:3
,Addumim,e4cf,Josh 15:7
,Adithaim,e4d0,Josh 15:26
,Aksah,e4d1,Josh 15:16
,Amam,e4d2,Josh 15:26
,Anab,e4d3,Josh 15:50
,Anim,e4d4,Josh 15:50
,Aphekah,e4d5,Josh 15:53
,Arab,e4d6,Josh 15:52
,Ashan,e4d7,Josh 15:42
,Ashnah,e4d8,Josh 15:33
,Baalah,e4d9,Josh 15:29
,Balah,e4d9,Josh 19:3
,Bealoth,e4da,Josh 15:24
,Ben_Hinnom,e4db,Josh 15:8
,Beth_Anath,e4dc,Josh 15:59
,Zeruiah,e4dd,1 Kgs 1:7
,Zoheleth,e4de,1 Kgs 1:9
,Ezra,e4df,Ezra 7:1
,Kedesh,e4e0,Josh 12:22
,Kishion,e4e0,Josh 21:28
,Mephaath,e4e1,Josh 21:37
,Mishal,e4e2,Josh 19:26
,Mishall,e4e2,Josh 19:26
,Nahalal,e4e3,Josh 21:35
,Nahalol,e4e3,Josh 21:35
,Nahalol,e4e3,Judg 1:30
,Timnath_Serah,e4e4,Josh 24:30
,Zarethan,e4e5,Josh 3:16
,Abinadab,e4e6,1 Sam 31:2
,Beth_Shan,e4e7,1 Sam 31:10
,Dagon,e4e8,2 Sam 10:10
,Elihu,e4e9,1 Sam 1:1
,Hophni,e4ea,1 Sam 1:3
,Jabesh,e4eb,1 Sam 31:11
,Jeroham,e4ec,1 Sam 1:1
,Malki_Shua,e4ed,1 Sam 31:2
,Mount_Gilboa,e4ef,1 Sam 31:1
,Peninnah,e4f0,1 Sam 1:2
,Ramathaim,e4f1,1 Sam 1:1
,Zuph,e4f3,1 Sam 1:1
,Jeshua_village,e4f4,Neh 11:26
,Achan,e4f5,Josh 22:20
,Adam_village,e4f6,Josh 3:16
,Almon,e4f7,Josh 21:18
,Anathoth,e4f8,Josh 21:18
,Beth_Shemesh,e4f9,Josh 21:16
,Eltekeh,e4fa,Josh 21:23
,Beth_Haggan,e4fb,2 Kgs 9:22
,En_Gannim,e4fb,Josh 21:29
,Eshtemoa,e4fc,Josh 21:14
,Eshtemoh,e4fc,Josh 15:50
,Gaash,e4fd,Josh 24:30
,Gath_Rimmon,e4fe,Josh 21:24
,Geba,e4ff,Josh 21:17
,Gibbethon,e500,Josh 21:23
,Gibeah,e501,Josh 42:33
,Hammath,e502,Josh 19:35
,Hammon,e502,Josh 19:28
,Hammoth_Dor,e502,Josh 21:32
,Helkath,e503,Josh 21:31
,Holon,e504,Josh 21:15
,Jattir,e505,Josh 21:14
,Juttah,e506,Josg 21:16
,Daberath,e507,Josh 21:28
,Rabbith,e507,Josh 19:20
,Ezem,e508,Josh 21:17
,Giloh,e509,Josh 15:5
,Hadashah,e50a,Josh 15:37
,Halhul,e50b,Josh 15:58
,Hazar_Gaddah,e50c,Josh 15:27
,Hazar_Shual,e50d,Josh 15:20
,Heshmon,e50e,Josh 15:27
,Humtah,e50f,Josh 15:54
,Iphtah,e510,Josh 15:43
,Ithnan,e511,Josh 15:23
,Jabneel,e512,Josh 15:11
,Jagur,e513,Josh 15:21
,Janim,e514,Josh 15:53
,Jokdeam,e515,Josh 15:56
,Joktheel,e516,Josh 15:38
,Kabbon,e517,Josh 15:40
,Kabzeel,e518,Josh 15:21
,Kain,e519,Josh 15:57
,Karka,e51a,Josh 15:3
,Keilah,e51b,Josh 15:44
,Abdon_man,e51c,Judg 12:13
,Dodo,e51d,Judg 10:1
,Hillel,e51e,judg 12:13
,Ibzan,e51f,Judg 12:8
,Kamon,e520,Judg 10:5
,Maon_village,e521,Judg 10:12
,Micah,e522,Judg 17:1
,Pirathon,e523,Judg 12:31
,Shamir_village,e524,Judg 10:2
,Zaphon,e525,Judg 12:11
,Amariah,e526,Zeph 1:1
,Mephibosheth,e527,2 Sam 9:6
,Mika,e528,2 Sam 9:12
,Recab,e529,2 Sam 4:2
,Gedaliah,e52a,Zeph 1:1
,Rimmon_man,e52b,2 Sam 4:2
,Ziba,e52c,2 Sam 9:2
,Ziklag,e52d,2 Sam 4:10
,Kerethites,e52e,Zeph 2:5
,Kesil,e52f,Josh b15:3
,Kinah,e530,Josh 15:22
,Kitlish,e531,Josh 15:40
,Lahmas,e532,Josh 15:40
,Lebaoth,e533,Josh 15:32
,Madmannah,e534,Josh 15:31
,Middin,e535,Josh 15:61
,Migdalgad,e536,Josh 15:37
,Moladah,e537,Josh 15:26
,Naamah_village,e538,Josh 15:41
,Nephtoah,e539,Josh 15:9
,Nezib,e53a,Josh 15:43
,Nibshan,e53b,Josh 15:62
,Othniel,e53c,Josh 15:17
,Dimnah,e53d,Jos 21:35
,Rimmon_village,e53d,Jos 15:32
,Secacah,e53f,Josh 15:61
,Shaarim,e540,Josh 15:36
,Shema_village,e541,Josh 15:26
,Shikkeron,e542,Josh 15:11
,Shelomith_woman,e543,Lev 24:11
,Seba_land,e544,Isa 43:3
,Arah,e545,Josh 13:4
,Beth_Aven,e546,Josh7:2
,Beth_Baal_Meon,e547,Josh 13:17
,Betonim,e548,Josh 13:26
,Gebal,e549,Josh 13:5
,Misrephoth_Maim,e54a,Josh 13:6
,Shihor,e54b,Josh 13:2
,Sharuhen,e54c,Josh 19:6
,Shilhim,e54c,Josh 15:32
,Sokoh,e54d,Josh 15:35
,Telem_village,e54e,Josh 15:24
,Zabdi,e54f,Josh 7:1
,Zanoah,e550,Josh 15:34
,Zereth_Shahar,e551,Josh 13:19
,Zair,e552,2 King 8:21
,Zior,e552,Josh 15:54
,Zoar,e552,Gen 13:10
,Ziph_village,e553,Josh 15:24
,Zorah,e554,Josh 15:33
,Shema_man,e555,1 Chr 2:43
,Ziph_man,e556,1 Chr 2:42
,Abeizer,e557,Judg 8:2
,Abel_Keramim,e558,Judg 11:33
,Heres,e559,Judg 1:35
,Jabesh_Gilead,e55a,Judg 21:9
,Jabin,e55b,Judg 4:2
,Jael,e55c,Judg 5:6
,Kishon,e55d,Judg 5:21
,Kitron,e55e,Judg 1:30
,Laish,e55f,Judg 18:7
,Lappidoth,e560,Judg 4:4
,Lebonah,e561,Judg 21:19
,Lehi,e562,Judg 15:9
,Mahaneh_Dan,e563,Judg 13:25
,Manoah,e564,Judg 16:31
,Meroz,e565,Judg 5:23
,Minnith,e566,Judg 11:33
,Mount_Tabor,e567,Judg 4:6
,Mount_Zalmon,e568,Judg 9:48
,Ophrah,e569,Judg 8:27
,Oreb,e56a,Judg 7:25
,Abinoam,e56b,Judg 5:12
,Ahlab,e56c,Judg 1:31
,Akko,e56d,Judg 1:31
,Anath,e56e,Judg 5:6
,Arumah,e56f,Judg 9:40
,Ashkelon,e570,Judg 14:19
,Beth_Barah,e571,Judg 7:24
,Beth_Millo,e572,Judg 9:6
,Beth_Shittah,e573,Judg 7:22
,Bezek,e574,Judg 1:4
,Bokim,e575,Judg 2:1
,Delilah,e576,Judg 16:4
,Ebed,e577,Judg 9:26
,Ehud,e578,Judg 4:1
,Etam,e579,Judg 15:11
,Gaal,e57a,Judg 9:26
,Gidom,e57b,Judg 20:45
,Harod,e57c,Judg 7:1
,Harosheth,e57d,Judg 4:2
,Helbah,e57e,Judg 1:31
,Jether,e57f,Judg 8:20
,Karkor,e580,Judg 8:10
,Hosah,e581,Josh 19:29
,Idalah,e582,Josh 19:14
,Iphtah_El,e583,Josh 19:14
,Iron,e584,Josh 19:38
,Ithlah,e585,Josh 19:40
,Japhia_village,e586,Josh 19:12
,Jehud,e587,Josh 19:45
,Kabul,e588,Josh 19:27
,Kattath,e589,Josh 19:15
,Chesulloth,e58a,Jos 19:18
,Kisloth_Tabor,e58a,Josh 19:12
,Lakkum,e58b,Josh 19:33
,Maralah,e58c,Josh 19:10
,Me_Jarkon,e58d,Josh 19:46
,Mermom,e58e,Jos 11:4
,Merom,e58e,Josh 11:5
,Migdal_El,e58f,Jos 19:38
,Neah,e590,Jos 19:13
,Neiel,e591,Jos 19:13
,Sarid,e592,Jos 19:10
,Shahazumah,e593,Jos 19:22
,Shihor_Libnath,e594,Jos 19:26
,Diblaim,e595,Hos 1:3
,Gomer,e596,Hos 1:3
,Jehu,e597,Hos 1:4
,Jezreel_man,e598,Hos 1:4
,Lebanon,e599,Ps 29:5
,Amad,e59a,Jos 19:26
,Anaharath,e59b,Jos 19:19
,Bene_Berak,e59c,Jos 19:45
,Beten,e59d,Jos 19:25
,Beth_Emek,e59e,Jos 19:27
,Beth_Markaboth,e59f,Jos 19:5
,Beth_Pazzez,e5a0,Jos 19:21
,Adamah,e5a1,Josh 19:36
,Adamah,e5a1,Josh 19:36
,Dabbesheth,e5a2,Jos 19:10
,Ebez,e5a3,Jos 19:20
,En_Haddah,e5a4,Jos 19:21
,Eth_Kazin,e5a5,Jos 19:13
,Hali,e5a6,Jos 19:25
,Hannathon,e5a7,Jos 19:14
,Hapharaim,e5a8,Jos 19:19
,Allammelek,e5a9,Jos 19:26
,Paruah,e5aa,1 Kgs 4:17
,Shavsha,e5ab,1 Chr 18:16
,Shisha,e5ab,1 Kgs 4:3
,Taphath,e5ac,1 Kgs 4:11
,Tiphsah,e5ad,1 Kgs 4:24
,Zabud,e5ae,1 Kgs 4:5
,Hosah,e5af,1 Chr 26:11
,Shual,e5b0,1 Chr 7:36
,Adami_Nekeb,e5b1,Josh 19:33
,Purah,e5b2,Judg 7:10
,Ramath_Lehi,e5b3,Judg 15:17
,Shaalabbin,e5b4,Josh 19:42
,Shaalbim,e5b4,Judg 1:35
,Shamgar,e5b5,Judg 5:20
,Sisera,e5b6,Judg 5:20
,Sorek,e5b7,Judg 16:14
,Tabbath,e5b8,Judg 7:22
,Thebez,e5b9,Judg 9:50
,Timnath_Heres,e5ba,Judg 2:9
,Tob,e5bb,Judg 11:3
,Zaanannim,e5bc,Judg 4:11
,Zalmunna,e5bd,Judg 8:5
,Zebah,e5be,Judg 8:5
,Zebul,e5bf,Judg 9:28
,Zebulun_land,e5c0,Judg 4:6
,Zeeb,e5c1,Jus 7:25
,Zephath,e5c2,Judg 1:17
,Abel_Meholah,e5c3,1 Sam 18:19
,Abigail,e5c4,1 Sam 25:3
,Adriel,e5c5,1 Sam 18:19
,Ner,e5c6,1 Kgs 2:5
,Azmaveth_village,e5c7,Ezra 2:29
,Regem_Melek,e5c8,Zech 7:2
,Sharezer,e5c9,Zech 7:2
,Amoz,e5ca,Isa 1:1
,Abel_Beth_Maakah,e5cb,1 Kgs 15:20
,Baasha,e5cc,1 Kgs 15:16
,Benjamin_land,e5cd,1 Kgs 15:22
,Eliada,e5cf,1 Kgs 11:23
,Genubath,e5d0,1 Kgs 11:20
,Hadadezer,e5d1,1 Kgs 11:23
,Hezion,e5d2,1 Kgs 15:18
,Hiram,e5d3,1 Kgs 10:11
,Ijon,e5d4,1 Kgs 15:20
,Naphtali_land,e5d6,1 Kgs 15:20
,Nebat,e5d7,1 Kgs 11:26
,Nimshi,e5d8,1 Kgs 19;16
,Ophir,e5d9,1 Kgs 10:11
,prostitute_man,e5da,1 Kgs 15:12
,Rezon,e5db,1 Kgs 11:23
,Shishak,e5dc,1 Kgs 11:40
,Gedor,e5dd,1 Chr 9:37
,Gibeon_man,e5de,1 Chr 9:35
,Hanan,e5df,1 Chr 9:44
,Hashabiah,e5e0,1 Chr 9:14
,Hassenuah,e5e1,1 Chr 9:7
,Hasshub,e5e2,1 Chr 9:14
,Heresh,e5e3,1 Chr9:15
,Hilkiah,e5e4,1 Chr 9:11
,Hodaviah,e5e5,1 Chr 9:7
,Ibneiah,e5e6,1 Chr 9:8
,Ibnijah,e5e7,1 Chr 9:8
,Immer,e5e8,1 Chr 9:12
,Imri,e5e9,1 Chr 9:4
,Jahzerah,e5ea,1 Chr 12:9
,Jedaiah,e5eb,1 Chr 9:10
,Jeuel,e5ec,1 Chr 9:6
,Maasai,e5ed,1 Chr 9:12
,Malkijah,e5ee,1 Chr 9:12
,Mattaniah,e5ef,1 Chr 9:15
,Melek,e5f0,1 Chr 9:41
,Tabrimmon,e5f1,1 Kgs 15:18
,Zeredah,e5f2,1 Kgs 11:26
,Zeruah,e5f3,1 Kgs 11:26
,Adaiah,e5f4,1 Chr 9:12
,Adiel,e5f5,1 Chr 9:12
,Ahio,e5f6,1 Chr 9:37
,Akkum,e5f7,1 Chr 9:17
,Alemeth,e5f8,1 Chr 9:42
,Asaiah,e5f9,1 Chr 9:5
,Asaph,e5fa,1 Chr 9:19
,Azel,e5fb,1 Chr 9:43
,Azmaveth_man,e5fc,1 Chr 9:42
,Azrikam,e5fd,1 Chr 9:14
,Baal_man,e5fe,1 Chr 9:36
,Bakbakkar,e5ff,1 Chr 9:15
,Bani,e600,1 Chr 9:14
,Binea,e601,1 Chr 9:43
,Bokeru,e602,1 Chr 9:44
,Eleasah,e603,1 Chr 9:43
,Galal,e604,1 Chr 9:15
,Abdon_village,e605,Josh 21:30
,Asher_land,e606,Josh 17:7
,Shion,e607,Josh 19:19
,Ummah,e608,Josh 19:30
,Zer,e609,Josh 19:35
,Ziddom,e60a,Josh 19:35
,Hazar_Susah,e60b,Josh 19:5
,Sansannah,e60b,Josh 15:31
,Eglon_man,e60c,Judg 3:12
,Ahab,e60d,Mic 6:16
,Omri,e60e,Mic 6:16
,Zephaniah,e60f,Zeph 1:1
,Cushi,e610,Zeph 1:1
,grey,e611,
,Tibni,e612,1 Kgs 16:21
,Abijah_woman,e613,2 Kgs 18:2
,Ahaziah,e614,2 Kgs 1:2
,Arpad,e615,2 Kgs 18:34
,Athaliah,e616,2 Kgs 11:1
,Bidkar,e617,2 Kgs 9:25
,Gehazi,e618,2 Kgs 5:20
,Gozan,e619,2 Kgs 18:11
,Gur,e61a,2 Kgs 9:27
,Halah,e61b,2 Kgs 18:11
,Hena,e61c,2 Kgs 18:34
,Ivvah,e61d,2 Kgs 18:34
,Jehosheba,e61e,2 Kgs 11:2
,Joah,e61f,2 Kgs 18:18
,Mattan,e620,2 Kgs 11:18
,Sennacherib,e621,2 Kgs 18:13
,Sepharvaim,e622,2 Kgs 18:34
,Shalmaneser,e623,2 Kgs 18:9
,Shebna,e624,2 Kgs 18:18
,Tishbe,e625,2 Kgs 1:3
,Abdiel,e626,1 Chr 16:32
,Ahi,e627,1 Chr 5:15
,Azriel,e628,1 Chr 5:24
,Beerah,e629,1 Chr 5:6
,Eliel,e62a,1 Chr 5:24
,Gog_man,e62b,1 Chr 5:4
,Habor,e62c,1 Chr 5:26
,Hara,e62d,1 Chr 5:26
,Huri,e62e,1 Chr 5:14
,Ishi,e62f,1 Chr 5:24
,Jahdiel,e630,1 Chr 5:24
,Jahdo,e631,1 Chr 5:14
,Janai,e632,1 Chr 5:12
,Jaroah,e633,1 Chr 5:14
,Jeshishai,e634,1 Chr 5:14
,Jorai,e635,1 Chr 5:13
,Kidon,e636,1 Chr 13:9
,Meraioth,e637,1 Chr 9:11
,Meshillemith,e638,1 Chr 9:12
,Meshullam,e639,1 Chr 9:7
,Mikloth,e63a,1 Chr 9:37
,Mikri,e63b,1 Chr 9:8
,Moza,e63c,1 Chr 9:42
,Obed_Edom,e63d,1 Chr 13:14
,Pashhur,e63e,1 Chr 9:41
,Pithon,e63f,1 Chr 9:41
,Reaiah,e640,1 Chr 5:5
,Shallum,e641,1 Chr 9:17
,Shapham,e642,1 Chr 5:12
,Sheariah,e643,1 Chr 9:44
,Shephatiah,e644,1 Chr 9:8
,Shimeam,e645,1 Chr 9:38
,Tahrea,e646,1 Chr 9:41
,Talmon,e647,1 Chr 9:17
,Tiglath_Pileser,e648,1 Chr 5:6
,Uthai,e649,1 Chr 9:4
,Uzzah,e64a,1 Chr 13:7
,Uzzi,e64b,1 Chr 9:8
,Zia,e64c,1 Chr 5:13
,Rephaiah,e64d,1 Chr 9:43
,Dumah_village,e64e,Josh 15:52
,Emek_Keziz,e64f,Josh 1821
,Haeleph,e650,Josh 18:28
,Heleph,e651,Josh 19:33
,Irpeel,e652,Josh 18:27
,Kartah,e653,Josh 21:34
,Kephar_Ammon,e654,Josh 18:24
,Kibzaim,e655,Josh 21:22
,Mozah,e656,Josh 18:26
,Ophni,e657,Josh 18:24
,Parah,e658,Josh 18:23
,Rakkath,e659,Josh19:35
,Taralah,e65a,Josh 18:27
,Zelah,e65b,Josh 18:28
,Gath_Hepher,e65c,Josh 19:13
,Tabor_village,e65d,1 Chron 6:77
,Kishi,e65e,1 Chr 6:44
,Kushaiah,e65e,1 Chr 15:17
,become_thing,e839,
,become_person,e83a,
,convert,e83a,
,remain,e83b,
