"e04a","mouth,said,speak,confession: king,master,ruler,lord"
"edac","Man: immeasurable: no,not: measure"
"e4f7","black: color: moon,night: village: many,much: neighbor: house: near,close"
"e3d8","Hide: put: hand: thing: .: land,ground,earth,space"
"e223","very : one"
"ec24","man: work,do"
"ea3c","table: gift: hand: love,compassion"
"e3d9","Bread: mouth,said,speak,confession: grain,wheat: land,ground,earth,space"
"efe6","Man: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
"efe8","Man: very: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
"e252","all,whole: time,when"
"e59a","very: testimony,witness: mouth,said,speak,confession: you: village: many,much: neighbor: house: near,close"
"efe9","Man: war,fight,battle: tongue: mouth,said,speak,confession: clothing,fabric"
"e4d2","mother: woman: love,compassion: village: many,much: neighbor: house: near,close"
"e526","man: very: clean,pure: water,wet: good"
"e14a","big: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
"e450","man: people: knife,cut"
"ebfd","Eye,see: person: mouth,said speak,confession"
"e100","good: all,whole"
"e1cf","Man: fly: love,compassion"
"e2ad","Man: type,kind_same: part,some: same,equal"
"e2ae","Man: people: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
"ea51","man: free,freedom: no,not: chain,bound,arrest,imprisoned"
"e2af","Man: very: people"
"edae","big: people: land,ground,earth,space"
"ea64","man: secret,whisper: quiet,silence: no,not: mouth,said,speak,confession: ear,hear"
"edaf","mountain: people"
"ec47","man: hand: big"
"e5ca","man: staff: big: stick"
"eb2e","ocean,sea: big: water,wet: village: many,much: neighbor: house: near,close"
"ebb9","man: very: big"
"e2df","Man: very: red: blood: hand: water,wet: color"
"edb1","Man: mute: mouth,said,speak,confession: no,not"
"e4d3","grape: small,few: fruit: village: many,much: neighbor: house: near,close"
"e0ba","Man: many,much: no,not: knife,cut"
"e59b","down: mountain: village: many,much: neighbor: house: near,close"
"e2b0","Man: up: neck: face"
"edb2","Man: knife,cut: water,wet"
"eb65","man: disciple: person: follow: people: forward,to: king,ruler,lord,master: face"
"e56e","man: mouth,said,speak,confession: correct,yes"
"e4f8","greeting: mouth,said,speak,confession: happy,joy: face: village: many,much: neighbor: house: near,close"
"ec80","very: past: backward: time,when: man: love,compassion"
"e11c","thing"
"e357","man: man"
"ebba","man: best: very: good"
"edb3","Man: two: water,wet"
"e0a7","good: spirit: no,not: person"
"e204",""
"e4d4","water,wet: very: village: many,much: neighbor: house: near,close"
"e102",""
"eb02","woman: no,not: knife,cut"
"eb63","man: priest: cross: person: kill,destroy,destruction: knife,cut: person"
"e033","king,ruler,lord,master: call,beckon: mouth,said,speak,confession: near,close: person"
"ebf2","Person: after: thing: forward,to"
"ed0e","Deceive,deception,lead_astray,false,lie: bad: no,not: true,truth: good: measure: cross"
"eb58","against: backward: forward,to: village: many,much: neighbor: house: near,close"
"ec01","Man: dead,death,die: no,not: heart: faithful,faithfulness: very: believe,faith: know,knowledge: cross"
"eb9a","man: against: backward: forward,to: family,relative: house: love,compassion"
"ebbb","man: divide,split,division,separate"
"e43c","river,stream: village: many,much: neighbor: house: near,close"
"e4d5","blue: river,stream: color: village: many,much: neighbor: house: near,close"
"eb30","Kill,destroy,destruction: knife,cut: person: village: many,much: neighbor: house: near,close"
"eb3e","man: kill,destroy,destruction: knife,cut: person"
"ebef","Cross: person: mouth,said,speak,confession"
"ecf1","Woman: wine: cup,drink: fruit"
"e041","Call,beckon: mouth,said,speak,confession: near,close : person"
"eb17","man: eat,food,meal: mouth,said,speak,confession: thing"
"e3a2","Awake: end,finish: sleep,rest,lie_down: person: village: many,much: neighbor: house: near,close"
"e4d6","hide: put,put_verb: hand: under: thing: .: village: many,much: neighbor: house: near,close"
"eb77","land,ground,earth,space: wilderness,desert: no,not: tree,plant,wood"
"e3a3","Man: donkey: small,few: horse"
"e3e7","Donkey: small,few: horse: village: many,much: neighbor: house: near,close"
"e545","ox: very: animal: land,ground,earth,space"
"edb4","Man: big"
"e0fa","Man: small,few: goat: sheep: soft: bone"
"edb5","Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
"ece7","Man: good: horse"
"e0ff","Man: many,much: child: small,few: person"
"efac","Man: beast: animal: bad: no,not: good"
"ec35","council: body: lead,leader,manage: forward,to: person: hill: small,few: mountain"
"eca6","Man: big: war,fight,battle"
"e495","fat_animal: animal: water,wet: land.ground,earth,space"
"e057","mouth,said,speak,confession: wild: no,not: peace: sleep,rest,lie_down: person: love,compassion"
"e34d","cross: tomb,grave: house: dead,death,die: no,not: heart: village: many,much: neighbor: house: near,close"
"edb6","Man: lion: hair: face: animal"
"e322","Up: straight"
"ec10","man: good: king,ruler,lord,master"
"ebbc","man: according_to: same,equal: mouth,said,speak,confession"
"edb7","Run: walk: very: people"
"e14e","big: person"
"ebbd","metal: body: person"
"ec52","man: good: happy,joy: face"
"e2f5","Shout: big: mouth,said,speak,confession: river,stream"
"e168","Man: smallest,least: very: donkey: small,few: horse"
"e3c5","No,not: people: village: many,much: neighbor: house: near,close"
"e31b",""
"ec53","man: no,not: hand"
"ecbf","Throw: knife,cut"
"ec34","man: complete,perfect: very: all,whole"
