,Ahira,,e2f4,"Man: big: bad: no,not: good"
,Ahiram,,e3a1,"Man: no,not: down"
,Ahisamak,,e0bb,"Man: foundation: house: root: land,ground,earth,space"
,Ahlab,,e56c,"mountain: tree,plant,wood: land,ground,earth,space"
,Ahuzzath,,eda9,man: thing
,Ai,,edaa,"kill,destroy,destruction: knife,cut: person: small,few: village: many,much: neighbor: house: near,close"
,Aiah,,e0fd,"Man: small,few: rooster: bird: sun,day"
,Aijalon,,e428,
,Ain,,e3e6,"Up: well: water,wet: hole"
,air,,e312,
,Akan,,efe5,"Man: change,turn"
,Akbor,,e0ed,"Man: small,few: war,fight,battle"
,Akkad,,edab,"Chain,bound,imprisoned,arrest: village: many,much: neighbor: house: near,close"
,Akko,,e56d,"near,close: land,ground,earth space"
,Akkum,,e5f7,"man: arrow: throw: knife,cut"
,Akrabbim,,e3d7,"Sharp: knife,cut: land,ground,earth,space"
,Aksah,,e4d1,"woman: curtain: clothing,fabric: window"
,Akshaph,,e43b,"immeasurable: no,not: measure: village: many,much: neighbor: house: near,close"
,Akzib,,e48e,"deceive,deception,false,lead_astray,lie: bad: no,not: true,truth: measure: measure: village: many,much: neighbor: house: near,close"
,alabaster,,e0d4,"money,wealth,wealthy: hard: no,not: soft: thing"
,Alemeth,,e5f8,man: under: thing: .: color
,Alexander,,ea14,man: shield: person
,Alexandria,,eb5a,"save,rescue: very: help: straight: people: village: many,much: neighbor: house: near,close"
,alive,life alive live,e09f,good: heart
,all,whole all,e251,
,Allammelek,,e5a9,"very: tree,plant,wood: village: many,much: neighbor: house: near,close"
,Allon_Bakuth,,efab,"Cry: sad,grieve: water,wet: tree,plant,wood"
,allow,permission allow permit,e04a,"mouth,said,speak,confession: king,master,ruler,lord"
,Almodad,,edac,"Man: immeasurable: no,not: measure"
,Almon,,e4f7,"black: color: moon,night: village: many,much: neighbor: house: near,close"
,Almon_Diblathaim,,e3d8,"Hide: put: hand: thing: .: land,ground,earth,space"
,alone,only alone,e223,very : one
,Alphaeus,,ec24,"man: work,do"
,altar,,ea3c,"table: gift: hand: love,compassion"
,Alush,,e3d9,"Bread: mouth,said,speak,confession: grain,wheat: land,ground,earth,space"
,Alvah,,efe6,"Man: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
,Alvan,,efe8,"Man: very: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
,always,eternal always eternity,e252,"all,whole: time,when"
,Amad,,e59a,"very: testimony,witness: mouth,said,speak,confession: you: village: many,much: neighbor: house: near,close"
,Amalek_man,,efe9,"Man: war,fight,battle: tongue: mouth,said,speak,confession: clothing,fabric"
,Amam,,e4d2,"mother: woman: love,compassion: village: many,much: neighbor: house: near,close"
,Amariah,,e526,"man: very: clean,pure: water,wet: good"
,amazed,amazing amazed great,e14a,"big: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amaziah,,e450,"man: people: knife,cut"
,ambassador,,ebfd,"Eye,see: person: mouth,said speak,confession"
,amen,,e100,"good: all,whole"
,Amittai,,e1cf,"Man: fly: love,compassion"
,Ammiel,,e2ad,"Man: type,kind_same: part,some: same,equal"
,Ammihud,,e2ae,"Man: people: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amminadab,,ea51,"man: free,freedom: no,not: chain,bound,arrest,imprisoned"
,Ammishaddai,,e2af,Man: very: people
,Ammon,,edae,"big: people: land,ground,earth,space"
,Amon,,ea64,"man: secret,whisper: quiet,silence: no,not: mouth,said,speak,confession: ear,hear"
,Amorites,,edaf,mountain: people
,Amos,,ec47,man: hand: big
,Amoz,,e5ca,man: staff: big: stick
,Amphipolis,,eb2e,"ocean,sea: big: water,wet: village: many,much: neighbor: house: near,close"
,Ampliatus,,ebb9,man: very: big
,Amram,,e2df,"Man: very: red: blood: hand: water,wet: color"
,Amraphel,,edb1,"Man: mute: mouth,said,speak,confession: no,not"
,Anab,,e4d3,"grape: small,few: fruit: village: many,much: neighbor: house: near,close"
,Anah,,e0ba,"Man: many,much: no,not: knife,cut"
,Anaharath,,e59b,"down: mountain: village: many,much: neighbor: house: near,close"
,Anak,,e2b0,Man: up: neck: face
,Anam,,edb2,"Man: knife,cut: water,wet"
,Ananias,,eb65,"man: disciple: person: follow: people: forward,to: king,ruler,lord,master: face"
,Anath,,e56e,"man: mouth,said,speak,confession: correct,yes"
,Anathoth,,e4f8,"greeting: mouth,said,speak,confession: happy,joy: face: village: many,much: neighbor: house: near,close"
,ancestor,,ec80,"very: past: backward: time,when: man: love,compassion"
,and,,e11c,thing
,Andrew,,e357,man: man
,Andronicus,,ebba,man: best: very: good
,Aner,,edb3,"Man: two: water,wet"
,angel,,e0a7,"good: spirit: no,not: person"
,anger,angry anger,e204,
,Anim,,e4d4,"water,wet: very: village: many,much: neighbor: house: near,close"
,animal,,e102,
,Anna,Hannah Anna,eb02,"woman: no,not: knife,cut"
,Annas,,eb63,"man: priest: cross: person: kill,destroy,destruction: knife,cut: person"
,anointed,,e033,"king,ruler,lord,master: call,beckon: mouth,said,speak,confession: near,close: person"
,another,next another,ebf2,"Person: after: thing: forward,to"
,Antichrist,,ed0e,"Deceive,deception,lead_astray,false,lie: bad: no,not: true,truth: good: measure: cross"
,Antioch,,eb58,"against: backward: forward,to: village: many,much: neighbor: house: near,close"
,Antipas,,ec01,"Man: dead,death,die: no,not: heart: faithful,faithfulness: very: believe,faith: know,knowledge: cross"
,Antipatris,,eb9a,"man: against: backward: forward,to: family,relative: house: love,compassion"
,Apelles,,ebbb,"man: divide,split,division,separate"
,Aphek,,e43c,"river,stream: village: many,much: neighbor: house: near,close"
,Aphekah,,e4d5,"blue: river,stream: color: village: many,much: neighbor: house: near,close"
,Apollonia,,eb30,"Kill,destroy,destruction: knife,cut: person: village: many,much: neighbor: house: near,close"
,Apollos,,eb3e,"man: kill,destroy,destruction: knife,cut: person"
,apostle,,ebef,"Cross: person: mouth,said,speak,confession"
,Apphia,,ecf1,"Woman: wine: cup,drink: fruit"
,appointed,,e041,"Call,beckon: mouth,said,speak,confession: near,close : person"
,Aquila,,eb17,"man: eat,food,meal: mouth,said,speak,confession: thing"
,Ar,,e3a2,"Awake: end,finish: sleep,rest,lie_down: person: village: many,much: neighbor: house: near,close"
,Arab,,e4d6,"hide: put,put_verb: hand: under: thing: .: village: many,much: neighbor: house: near,close"
,Arabia,,eb77,"land,ground,earth,space: wilderness,desert: no,not: tree,plant,wood"
,Arad_man,,e3a3,"Man: donkey: small,few: horse"
,Arad_village,,e3e7,"Donkey: small,few: horse: village: many,much: neighbor: house: near,close"
,Arah,,e545,"ox: very: animal: land,ground,earth,space"
,Aram_man,,edb4,Man: big
,Aran,,e0fa,"Man: small,few: goat: sheep: soft: bone"
,Ararat,,edb5,"Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
,Archippus,,ece7,Man: good: horse
,Ard,,e0ff,"Man: many,much: child: small,few: person"
,Areli,,efac,"Man: beast: animal: bad: no,not: good"
,Areopagus,,ec35,"council: body: lead,leader,manage: forward,to: person: hill: small,few: mountain"
,Aretas,,eca6,"Man: big: war,fight,battle"
,Argob,,e495,"fat_animal: animal: water,wet: land.ground,earth,space"
,argument,,e057,"mouth,said,speak,confession: wild: no,not: peace: sleep,rest,lie_down: person: love,compassion"
,Arimathea,,e34d,"cross: tomb,grave: house: dead,death,die: no,not: heart: village: many,much: neighbor: house: near,close"
,Arioch,,edb6,Man: lion: hair: face: animal
,arise,ascend arise,e322,Up: straight
,Aristarchus,,ec10,"man: good: king,ruler,lord,master"
,Aristobulus,,ebbc,"man: according_to: same,equal: mouth,said,speak,confession"
,Arkites,,edb7,Run: walk: very: people
,arm,,e14e,big: person
,armor,,ebbd,metal: body: person
,Arni,,ec52,"man: good: happy,joy: face"
,Arnon,,e2f5,"Shout: big: mouth,said,speak,confession: river,stream"
,Arodi,,e168,"Man: smallest,least: very: donkey: small,few: horse"
,Aroer,,e3c5,"No,not: people: village: many,much: neighbor: house: near,close"
,around,,e31b,
,Arphaxad,,ec53,"man: no,not: hand"
,arrow,,ecbf,"Throw: knife,cut"
,Artemas,,ec34,"man: complete,perfect: very: all,whole"
,Arumah,,e56f,"lift: hand: up: land,ground,earth,space"
,Arvad,,edb8,"Fast_speed: very: forward,to: land,ground,earth,space"
,Asa,,ea5c,"man: very: heal: hand: health,healthy: happy,joy: face: heart"
,Asaiah,,e5f9,"man: make,create: hand: person"
,Asaph,,e5fa,"man: bring,carry,take: hand: thing"
,Asenath,,efad,"woman: heart: bad: no,not: good"
,ash,,ea90,"Bad: no,not: good: air"
,ashamed,,e05f,"quiet,silence: no,not: afraid,fear,worry: mouth,said,speak,confession: heart"
,Ashan,,e4d7,"smoke: soft: fire,hot,heat: village: many,much: neighbor: house: near,close"
,Ashbel,,efae,"Man: eat,food,meal: mouth,said,speak,confession: thing: fire,heat,hot"
,Ashdod,,e451,"bring,carry,take: hand: thing: village: many,much: neighbor: house: near,close"
,Asher_land,,e606,"small,few: happy,joy; face: land,ground,earth,space"
,Asher_man,,ebde,"Man: happy,joy: face"
,Asherah,,e0bc,"Idol: mute: mouth,said,speak: no,not: thing: tree,plant,wood"
,Ashhur,Ashhur Ashhur,ebdd,"Man: happy,joy: face: land,ground,earth,space"
,Ashkelon,,e452,"fire: village: many,much: neighbor: house: near,close"
,Ashkelon,,e570,"heavy: hand: big: measure: village: many,much: neighbor: house: near,close"
,Ashkenaz,,edb9,"Man: cold: no,not: fire,heat,hot"
,Ashnah,,e4d8,"change,turn: change,turn: village: many,much: neighbor: house: near,close"
,Ashtiroth_Karnaim,Ashtiroth_Karnaim Ashtaroth,edba,"Cow: land,earth,ground,space"
,Ashur_land,,e0ef,"Black: color: moon,night: land,ground,earth,space"
,Ashur_man,,edbb,"Man: black: color: moon,night"
,Asia,,eb6f,"direction: land,ground,earth,space"
,Asriel,,e3a4,"Man: chain,bound,arrest,imprisoned"
,Asshurites,,e1ef,"Many,much: war,battle,fight: people"
,Assir,,e2bf,"Man: prison: house: chain,bound,arrest,imprisoned"
,Assos,,eb20,"near,close: village: many,much: neighbor: house: near,close"
,assurance,confidence assurance,e070,"know,knowledge: know,knowledge"
,Assyria,,edbc,"Up: grow,growth,ripen: land,ground,earth,space"
,Asyncritius,,ebbe,"man: go,travel,trip,journey"
,Atad,,efaf,"Horn: bone: head: face; village: many,much: neighbor: house: near,close"
,Ataroth,,e3c6,"Crown: thing: king,ruler,lord,master: cow: land,ground,earth,space"
,Ataroth_Addar,,e465,"king,lord,ruler,master: village: many,much: neighbor: house: near,close"
,Ataroth_Shophan,,e3c7,"Cover: straight: thing: land,ground,earth,space"
,Atharim,,e3a5,"Spy: eye,see: mute: mouth,said,speak,confession: no,not: person: road,path,way"
,Athens,,eb07,"ignorant,ignorance: know,knowledge: no,not: village: many,much: neighbor: house: near,close"
,Attalia,,eb31,"time,when: village: many,much: neighbor: house: near,close"
,authority,,e034,"King,ruler,lord,master: mouth,said,speak,confession"
,avenge,revenge avenge vengeance,ed0c,"Backward: Hand: same,equal"
,Avith,,efea,"OT: man: small,few: old: no,not: new"
,Avvites,,e496,"bad: no,not: good: people"
,awake,,ec54,"end,finish: sleep,rest,lie_down: person"
,away,,e11e,thing
,Azekah,,e42a,"door: village: many,much: neighbor: house: near,close"
,Azel,,e5fb,"man: pour: cup,drink"
,Azmaveth_man,,e5fc,"man; end,finish"
,Azmaveth_village,,e5c7,"big: death,dead,die: no,not: heart: village: many,much: neighbor: house: near,close"
,Azmon,,e3da,"Very: strong: hand: power,ability,can: big: knife,cut: land,ground,earth,space"
,Azor,,ea6c,"man: person: helper,attendant: help: straight: people"
,Azotus,,eb7e,"praise,worship,exalt,dignify: mouth,said,speak,confession: good: tree,plant,wood: village: many,much: neighbor: house: near,close"
,Azrikam,,e5fd,man: very: stand: up: straight: person
,Azzan,,e3e2,"Man: very: sharp: knife,cut"
,Baal,,ebbf,"have: hand: .: mute: mouth,said,speak,confession: no,not: thing"
,Baal_Gad,,e44b,"happy,joy: face: land,ground,earth,space"
,Baal_Hanan,,e169,"Man: very: no,not: knife,cut"
,Baal_man,,e5fe,"man: Baal: have: hand: .: mute: mouth,said,speak,confession: no,not: thing"
,Baal_Meon,,e3c8,"Allow,permission.permit: abide,dwell: house: alive,live,life: good: heart: land,ground,earth,space"
,Baal_Zephon,,e0bd,"King,ruler,lord,master: direction: land,ground,earth,space"
,Baalah,Balah Baalah,e4d9,"mute: mouth,said,speak,confession: no,not: thing: village: many,much: neighbor: house: near,close"
,Baanah,,e488,"man: questioned,ask: mouth,said,speak,confession: ?: or"
,Baasha,,e5cc,"man: kill,destruction,destroy: knife,cut: person: many,much"
,baby,,e0a6,"very: small,few: person"
,Babylon,Babylon Babel,ea67,"ignorant,ignorance: know,knowledge: no,not: land,ground,earth,space"
,backward,,e325,
,bad,,e17d,"no,not: good"
,bag,,e26f,soft: box
,Bakbakkar,,e5ff,"man: very: search: hand: eye,see"
,Balaam,,eca1,"Man: prophesy: eye,see: forward,to: donkey: small,few: horse"
,Balak,,ebff,"Man: bad: no,not: good: king,ruler,lord,master"
,Bamoth_land,,e3c0,"Idol: mute: mouth,said,speak,confession: no,not: thing: land,ground,earth,space"
,Bamoth_man,,e2f6,"Man: idol: mute: mouth,said,speak,confession: no,not: thing"
,Bani,,e600,"man: make,create: hand: person: thing"
,bank,,ec55,"house: money,wealth,wealthy: hand"
,banner,,e2b1,
,baptize,baptize baptism,e24a,"Water,wet: person"
,Barabbas,,e36d,"man: forgive,forgiveness; no,not: kill,destroy,destruction: knife,cut: person"
,Barachiah,,ea97,"man: happy,joy: face: many,much"
,Barak,,ed02,Man: shake
,Barnabas,,ec2f,"man: encourage: free,freedom: no,not: chain,imprisoned,bound,arrest: heart"
,Barsabbas,,eb69,"man: water,wet"
,Bartholomew,,e362,"man: up: water,wet"
,Bartimaeus,,e36b,"man: blind: no,not: eye,see"
,Basemath,,edbd,"Woman: perfume,fragrant: good: nose,smell"
,Bashan,,e3a6,"Soft: land,ground,earth,space"
,basket,,e19f,"small,few: net"
,Bathsheba,,e4af,woman: seven
,Bealoth,,e4da,"humble,humility: small,few: mouth,said,speak,confession: me,I: village: many,much: neighbor: house: near,close"
,bear,,ecef,Shield: animal
,bear_with,,e227,"bear_with: very: with: same,equal: people"
,beast,,e103,"animal: bad: no,not: good"
,beat,hit beat,e0e4,"hand: pain,hurt: knife,cut: heart"
,beauty,beauty beautiful,ea4a,"good: eye,see"
,because,purpose because reason therefore,e066,"know,knowledge: ?"
,become_person,convert become_person,e83a,"change,turn: person"
,become_thing,,e839,"change,turn: thing"
,bed,mattress bed,e122,"Sleep,rest,lie_down,person: straight"
,Bedad,,e1ee,"Man: same,equal: part,some"
,Beer,,e3a7,"Well: water,wet: hole"
,Beer_Lahai_Roi,,eef9,"Eye,see: well: water,wet: hole"
,Beeri,,edbe,Man: hole
,Beeroth,,e42b,"well: water,wet: hole: village: many,much: neighbor: house: near,close"
,Beersheba,,edbf,"Promise: mouth,said,speak,confession: work,do: village: many,much: neighbor: house: near,close"
,before,,e107,backward: thing
,beg,,e21e,"very: mouth,said,speak,confession: desire,like,want,will: love,compassion: heart"
,behind,,e116,thing: thing
,Beker,,efb1,Man: camel
,Bela_man,,e1ed,"Man: king,lord,ruler,master: near,close"
,Bela_village,,edc1,"Eat,food,meal: mouth,said,speak,confession: thing: village: many,much: neighbor: house: near,close"
,believe,faith believe,e06f,"know,knowledge: cross"
,bell,,e0be,"Small,few: sound,noise: ear,hear: thing"
,belt,,e29d,
,Ben_Ammi,,edc2,Man: big: people
,Ben_Hadad,,e453,"man: loud: very: ear,hear"
,Ben_Hinnom,,e4db,"here: very: land,ground,earth,space: land,ground,earth,space"
,Ben_oni,,e1a4,OT: man: man
,Benaiah,,e4b0,man: tool: tool
,Bene_Berak,,e59c,"lightning: storm: eye,see: village: many,much: neighbor: house: near,close"
,Bene_Jaakan,,e3db,"Need,have_to: hand: very: change,turn: land,ground,earth,space"
,Benjamin_land,,e5cd,"hand: land,ground,earth,space"
,Benjamin_man,,eb4b,man: hand
,Beon,,e3c9,"Pain,hurt: knife,cut: heart: land,ground,earth,space"
,Beor,,eda3,"Man: very: fire,heat,hot"
,Bera,,edc3,"Man: very: bad: no,not: good"
,Berea,,eb13,"no,not: walk: village: many,much: neighbor: house: near,close"
,Bered_city,,e2d0,"Hail_storm: cloud: soft: thing: hard: no,not: village: many,much: neighbor: house: near,close"
,Bered_man,,efb2,"Man: hail_storm: cloud: soft: thing: hard: no,not"
,Beriah,,efb3,"Man: trouble: heart: bad: no,not: good"
,Bernice,,eb9e,"woman: victory,prevail,triumph: king,lord,ruler,master: war,fight,battle"
,beside,,e117,thing: .
,best,,e21f,very : good
,Beten,,e59d,"stomach: eat,food,meal: mouth,said,speak,confession: thing: village: many,much: neighbor: house: near,close"
,Beth_Anath,,e4dc,"walk: mouth,said,speak,confession: village: many,much: neighbor; house: near,close"
,Beth_Arabah,,e4b8,"very: dry: no,not: water,wet; land,ground,earth,space"
,Beth_Aven,,e546,
,Beth_Baal_Meon,,e547,"have: hand: .: mute: mouth,said,speak,confession: no,not: village: many,much: neighbor: house: near,close"
,Beth_Barah,,e571,"through,pass: thing: forward,to: river,stream: land,ground,earth,space"
,Beth_Dagon,,e4b9,"fish: fish: village: many,much: neighbor: house: near,close"
,Beth_Eden,,e454,"up: grain,wheat: village: many,much: neighbor: house: near,close"
,Beth_Emek,,e59e,"valley: village: many,much: neighbor: house: near,close"
,Beth_Ezel,,e43a,"house: house: village: many,much: neighbor: house: near,close"
,Beth_Haran,,e479,"no,not: knife,cut: village: many,much: neighbor: house: near,close"
,Beth_Hoglah,,e4ba,"happy,joy: face: tongue: mouth,said,speak,confession: clothing,fabric: land,ground,earth,space"
,Beth_Horon,,e42c,"anger,angry: village: many,much: neighbor: house: near,close"
,Beth_Jeshimoth,,e3dc,"House: land,ground,earth,space"
,Beth_Leaphrah,,e491,"dust: small,few: part,some: land,ground,earth,space: village: many,much: neighbor: house: near,close"
,Beth_Markaboth,,e59f,"horse: chair,sit: village: many,much: neighbor: house: near,close"
,Beth_Millo,,e572,"full: cup,drink: wall"
,Beth_Pazzez,,e5a0,"very: divide,division,separate,split: backward: forward: village: many,much: neighbor: house: near,close"
,Beth_Pelet,,e4bb,"help: straight: people: village: many,much: neighbor: house: near,close"
,Beth_Peor,,e423,"open: no,not: closed: land,ground,earth,space"
,Beth_Shan,,e4e7,"dream,vision: eye,see: sleep,rest,lie_down: person: village: many,much: neighbor: house: near,close"
,Beth_Shemesh,,e4f9,"sun,day: house: village: many,much: neighbor: house: near,close"
,Beth_Shittah,,e573,"good: tree,plant,wood: land,ground,earth,space"
,Bethany,,e349,"house: pain,hurt: knife,cut: heart: village: many,much: neighbor: house: near,close"
,Bethel,,edc4,"Hei: village: many,much: neighbor: house: near,close"
,Bethesda,,eba0,"love,compassion: person: lake: small,few: water,wet"
,Bethlehem,,ea45,"birth,born: start,beginning: person: village: many,much: neighbor: house: near,close"
,Bethphage,,e348,"Cross: horse: village: many,much: neighbor: house: near,close"
,Bethsaida,,e340,"harvest: hand: grain,wheat: village: many,much: neighbor: house: near,close"
,Bethuel_city,,e1e0,"OT: man: clean,pure: water,wet: good: village: many,much: neighbor: house: near,close"
,Bethuel_man,,e1a0,"OT: man: clean,pure: water,wet: good"
,Betonim,,e548,
,betray,betrayal betray,e195,"no,not: trust: love,compassion: true,truth: good: measure"
,better,,e09e,"good: many,much"
,between,,e118,thing: stick
,Bezalel,,e0bf,"Man: very: power,can,ability: big: knife,cut"
,Bezek,,e574,"lightning: storm: eye,see: land,ground,earth,space"
,Bezer,,e466,"shield: village: many,much: neighbor: house: near,close"
,Bible,Scripture Bible Word_of_God,e22c,"book,read,learn: cross"
,big,,e120,
,Bigthana,,e492,man: fruit: building
,Bilhah,,eefa,"Woman: strong: hand: power,ability,can: big: knife,cut"
,Bilhan,,efeb,"Man: humble,humility: small,few: mouth,said,speak,confession: me,I"
,Binea,,e601,"man: put,put_verb: hand: thing: right"
,bird,,e25c,
,Birsha,,edc5,"Man: bad: no,not: good: forward,to"
,birth,born birth,e235,"start,beginning: person"
,Bithynia,,eb48,"break: knife,cut: all,whole: land,ground,earth,space"
,bitter,,ecd2,"Bad: no,not: good: tongue: mouth,said,speak,confession: clothing,fabric"
,Biziothiah,,e4bc,"but: thing: clothing,fabric: village: many,much: neighbor: house: near,close"
,black,,eb86,"color: moon,night"
,blasphemy,blasphemy blaspheme insult,e05b,"mouth,said,speak,confession: bad: no,not: good: god: king,lord,ruler,master: man: love,compassion"
,Blastus,,eb8d,"man: small,few: tree,plant,wood"
,bless,blessing bless,e05c,"mouth,said,speak,confession: gift: hand: love,compassion"
,blessed,,ea21,"happy,joy: face: many,much"
,blind,,e192,"no,not: eye,see"
,blood,,e087,"hand: water,wet"
,blue,,ecda,"River,stream: color"
,boast,pride boast proud,e14b,"big: mouth,said,speak,confession: me,I"
,boat,,e265,
,Boaz,,ea54,"man: fast_speed: very: forward,to"
,body,,e143,person
,Bohan,,e4bd,"man: toe: foot: person: part,some"
,Bokeru,,e602,"man: one: birth,born: start,beginning: person "
,Bokim,,e575,"cry: sad,grieve: water,wet: land,ground,earth,space"
,bone,,e0b2,
,book,learn book read,e22a,
,bottom,,e119,thing
,bow,,e210,face: down
,bow_arrow,,ecc8,"String: war,battle,fight"
,bowl,dish bowl,e384,
,box,,e29e,
,boy,,e001,"small,few: man"
,boys,,e002,"small,few: man"
,Bozkath,,e4be,"up: arise,ascend: village: many,much: neighbor: house: near,close"
,Bozrah,,efec,"Sheep: soft: keep: very: have: hand: .: village: many,much: neighbor: house: near,close"
,branch,,e246,"tree,plant,wood"
,brave,courage brave,e196,"no,not: afraid,fear,worry: mouth,said,speak,confession: heart"
,bread,loaf bread,e05d,"mouth,said,speak,confession: grain,wheat"
,break,,e0e1,"knife,cut: all,whole"
,breast,,e2db,In_front: thing: body: person
,breastplate,,ecd5,Shield: body: person
,breath,breathe breath,ecee,"Mouth,said,speak,confession: air"
,bribe,,ebdb,"Bad: no,not: good: forward,to: money,wealth,wealthy"
,brick,,eefb,"Make,create: hand: person: rock: hard: soft: no,not: thing"
,bride,,e015,"start,beginning: love,compassion: woman"
