Bamoth_land,e3c0,Num 21:19
Barabbas,e36d,Matt 27:16
Barachiah,ea97,Matt 23:35
Barak,ed02,Heb 11:32
Barnabas,ec2f,Acts 9:27
Barsabbas,eb69,"Acts 15:22,27"
Bartholomew,e362,Matt 10:3
Bartimaeus,e36b,Mark 10:46
Basemath,edbd,Gen 26:34
Bashan,e3a6,Num 21:33
beckon,e040,Luke 5:7
Bedad,e1ee,Gen 36:35
Beelzebul,e335,Matt 10:25
Beer,e3a7,Num 21:16
Beer_Lahai_Roi,eef9,Gen 16:14
Beeri,edbe,Gen 26:34
Beeroth,e42b,Deut 10:6
Beersheba,edbf,Gen 26:33
Beker,efb1,Gen 46:21
Bela_man,e1ed,Gen 14:2
Bela_village,edc1,Gen 14:8
Believer,eb90,Acts 5:14
Ben_Ammi,edc2,Gen 19:38
Ben_Hadad,e453,1 Kgs 15:18
Ben_oni,e1a4,Gen 35:18
Bene_Jaakan,e3db,Num 33:31
Benjamin,eb4b,Gen 35:18
Beon,e3c9,Num 32:3
Beor,eda3,Gen 36:32
Bera,edc3,Gen 14:2
Berea,eb13,Acts 17:10
Bered_city,e2d0,Gen 16:14
Bered_man,efb2,I Chr 7:20
Beriah,efb3,Gen 46:17
Bernice,eb9e,Acts 25:13
Beth_Eden,e454,Amos 1:5
Beth_Haran,e479,Num 32:36
Beth_Horon,e42c,Josh 10:10
Beth_Jeshimoth,e3dc,Num 33:49
Beth_Peor,e423,Deut 3:29
Bethany,e349,Matt  21:17
Bethel,edc4,Gen 12:8
Bethesda,eba0,John 5:2
Bethlehem,ea45,Matt 2:1
Bethphage,e348,Matt 21:1
Bethsaida,e340,Matt 11:21
Bethuel_city,e1e0,I Chr 4:30
Bethuel_man,e1a0,Gen 22:22
Bezalel,e0bf,Exod 31:2
Bezer,e466,Deut 4:43
Bigthana,e492,Esth 6:2
Bilhah,eefa,Gen 29:29
Bilhan,efeb,Gen 36:27
Birsha,edc5,Gen 14:2
Bithynia,eb48,Acts 16:7
Blastus,eb8d,Acts 12:20
Boaz,ea54,Matt 1:5
Bozrah,efec,Gen 36:33
Bukki,e3e3,Num 34:22
Buz,e1a5,Gen 22:21
Caesar,e370,Acts 26:32
Caesarea,e346,Matt 16:13
Caiaphas,ea77,Matt 26:3
Cain,ec56,Gen 4:1
Cainan,ec56,Luke 3:36
Calah,edc6,Gen 10:12
Caleb,e2b2,Num 13:6
can,e124,Gen 4:13
Cana,eba2,John 2:11
Canaan_land,e33d,Acts 7:11
Canaan_man,edc7,Gen 9:18
Candace,eb85,Acts 8:27
Capernaum,e33a,Matt 4:13
Caphtorites,edc8,Gen  10:14
Cappadocia,eb74,Acts 2:9
Carmel,e43d,Josh 12:22
Carpus,ecad,2 Tim 4:13
case,ec87,Exod 18:22
Cauda,ec36,Acts 27:16
Cenchrea,eb3d,Acts 18:18
Cephas,e356,John1:42
Chaldea,eb0e,Jer 50:10
Chemosh,e3a8,Num 21:29
chew_cud,e2da,Lev 11:3
Chios,eb22,Acts 20:15
Chloe,ebe2,1 Cor 1:11
Chorazin,ea8f,Matt 11:21
Christ,e334,Matt 1:1
Christian,eb90,Acts 26:28
Chuza,ec57,Luke 8:3
Cilicia,eb5b,Acts 6:9
Clauda,ec36,Acts 27:16
Claudia,ecae,2 Tim 4:21
Claudius,eb8a,Acts 11:28
Clement,ece3,Phil 4:3
Cleopas,ec58,Luke 24:18
Clopas,ebb5,John 19:25
Cnidus,ec14,Acts 27:7
Colossae,ece8,Col 1:2
Corinth,ea59,Acts 18:1
Cornelius,eb81,Acts 10:1
Cosam,ec59,Luke 3:28
Creator,ec22,Rom 1:25
Crescan,ecaf,2 Tim 4:10
Crete,ec8d,Acts 27:7
Crispus,eb3a,Acts 18:8
Cush,edca,Gen 2:13
Cush_land,e1e2,Isa 11:11
Cush_man,edca,Gen 10:6
Cypress,edcb,Gen 6:14
Cyprus,eb88,Acts 4:36
Cyrene,eb59,Matt 27:32
Dalmanutha,e344,Mark 8:10
Dalmatia,ecb1,2 Tim 4:10
Damaris,eb37,Acts 17:34
Damascus,ec31,Gen  14:15
Dan_land,edcc,Gen 14:14
Dan_man,edcd,Gen 30:6
Daniel,ea78,Matt 24:15
Darius,e490,Hag 1:1
Dathan,e2f7,Num 16:1
David,e35e,Matt 1:1
Debir_city,e43e,Josh 10:38
Debir_man,e42d,Josh 10:3
Deborah,efb5,Gen 35:8
Decapolis,e33e,Matt 4:25
Dedan,edce,Gen 10:7
Demes,ecb2,2 Tim 4:10
Demetrius,eb1a,Acts 19:24
denarius,e165,Matt 22:19
Derbe,eb43,Acts 14:6
Deuel,e2b3,Num 1:14
Dibon,e3a9,Num 21:30
Dibon_Gad,e3e8,Num 33:45
Dibri,e2ef,Lev 24:11
Didymus,ebb6,John 11:16
Diklah,e1ac,Gen  10:27
Dinah,efb7,Gen 30:21
Dinhabah_city,efed,Gen 36:32
Dionysius,eb78,Acts 17:34
Diotrephes,ece2,3 John 1:9
Dishan,e1ec,Gen 36:21
Dishon,efee,Gen 36:21
Dizahab,e481,Deut 1:1
Dodanim,edcf,Gen  10:4
Doeg,e460,1 Sam 21:7
Dophkah,e3dd,Num 33:12
Dor,e43f,Josh11:2
Dorcas,ec2c,Acts 9:36
Dothan,efa3,Gen 37:17
Drusilla,eb9c,Acts 24:24
Dumah,eefd,Gen 25:14
Ebal,efef,Gen 36:23
Eber_land,e497,Num 24:24
Eber_man,ec5a,Gen 10:21
Eden_garden,edd2,Gen  2:8
Eden_man,e1e9,2 Chr 29:12
Edom_land,e1a7,Gen 32:3
Edom_man,e1a6,Gen 25:30
Edrei,e474,Josh 19:37
Eglon,e42e,Josh 10:3
Egypt,ea44,Matt 2:13
Ehi,efb8,Gen 46:21
Ekron,e455,Jos 13:3
El,edd3,Gen 35:17
El_Elohe,e1e4,Gen 33:20
Elah,e1a9,Gen  36:41
Elam_land,eb6d,Gen 14:1
Elam_man,edd4,Gen 10:22
Elath,e498,Deut 2:8
Eldaah,e1e3,Gen 25:4
Eldad,e2b4,Num 11:26
Elealeh,e3ca,Num 32:3
Eleazar,ea70,Exod 6:23
Eli,ec44,1 Sam 1:3
Eliab,e2b5,Num 1:9
Eliakim,ea6b,Matt 1:13
Eliasaph,e2b6,Num 1:14
Elidad,e3e4,Num 34:21
Eliezer,ec5b,Gen 15:2
Elijah,e36a,1 Kgs 17:1
Elim,e0ca,Exod 15:27
Elimelek,e41e,Ruth 1:2
Eliphaz,eff1,Gen 36:4
Elisha,ec5c,1 Kgs 19:16
Elishah,ec5c,Gen 10:4
Elishama,e2b7,Num 1:10
Elisheba,e3b5,Exod 6:23
Eliud,ea6f,Matt 1:14
Elizabeth,ec3a,Luke 1:5
Elizaphan,e2b8,Num 3:30
Elizur,e1fa,Num 1:5
Elkanah,e2c0,Exod 6:24
